part,sensor,metric,stat,title,long_mean,short_mean,difference,t_stat,p_value,n_long,n_short,overall_p_value
Part 2,EEG,Distraction,AUC,Abbott Elementary,15.87649402652381,15.877192599708335,-0.0006985731845254861,-0.00013377508280652969,0.9998940521555846,21,24,0.0017114085020459846
Part 2,EEG,Distraction,AUC,Mad Max,6.537926183999999,33.31029257789474,-26.772366393894742,-3.5722512071311137,0.0018720328467108527,17,19,0.0017114085020459846
Part 2,EEG,Distraction,AUC,The Town,18.608103036933336,36.190721131888886,-17.58261809495555,-1.9663121012251346,0.059137709875991894,15,18,0.0017114085020459846
Part 2,EEG,Distraction,Mean,Abbott Elementary,0.16122518276190478,0.11294358904545453,0.04828159371645026,1.129473933085244,0.26604555745551045,21,22,0.45307885919150304
Part 2,EEG,Distraction,Mean,Mad Max,0.05886362847368421,0.14806063468421052,-0.08919700621052631,-2.2828429728846,0.02931340414699766,19,19,0.45307885919150304
Part 2,EEG,Distraction,Mean,The Town,0.1194104321111111,0.14137589116666663,-0.021965459055555525,-0.5273006165758086,0.6014254616523433,18,18,0.45307885919150304
Part 2,EEG,Drowsy,AUC,Abbott Elementary,2.958563126857164,3.57027934530213,-0.611716218444966,-0.4546377712039123,0.651723831082901,21,23,0.4331760393229698
Part 2,EEG,Drowsy,AUC,Mad Max,6.475047350529412,3.2555288797062505,3.2195184708231612,1.5417979944066955,0.13414337617321387,17,17,0.4331760393229698
Part 2,EEG,Drowsy,AUC,The Town,5.279465098368421,5.073752995685715,0.205712102682706,0.0972218464087194,0.9232027982595925,19,14,0.4331760393229698
Part 2,EEG,Drowsy,Mean,Abbott Elementary,0.024349796000000222,0.03098334839607091,-0.0066335523960706876,-0.5584820515898682,0.5797003277102168,20,22,0.9113773267262493
Part 2,EEG,Drowsy,Mean,Mad Max,0.028279321729411763,0.014267762170531047,0.014011559558880716,1.5357876685181129,0.13548698268754272,17,17,0.9113773267262493
Part 2,EEG,Drowsy,Mean,The Town,0.023905557478999997,0.0318475505085,-0.007941993029500004,-0.6866116410686761,0.49812763541135774,20,16,0.9113773267262493
Part 2,EEG,FrontalAlphaAsymmetry,AUC,Abbott Elementary,5.44075829990909,-4.3963937595217395,9.83715205943083,1.6786889080815401,0.1005958569825782,22,23,0.8443310879992798
Part 2,EEG,FrontalAlphaAsymmetry,AUC,Mad Max,7.631639576,-11.233589819749996,18.865229395749996,1.5078677130933646,0.14180238445108317,19,16,0.8443310879992798
Part 2,EEG,FrontalAlphaAsymmetry,AUC,The Town,-10.637785211058825,16.68543788472222,-27.323223095781046,-1.8717937064525296,0.07119345710757354,17,18,0.8443310879992798
Part 2,EEG,FrontalAlphaAsymmetry,Mean,Abbott Elementary,0.05489576572727273,-0.03510022213043478,0.08999598785770752,1.5337503779802095,0.13253480052442282,22,23,0.661771530058857
Part 2,EEG,FrontalAlphaAsymmetry,Mean,Mad Max,0.014047701300000007,-0.04586791200000001,0.05991561330000002,0.8551767458105802,0.3986211428977945,20,18,0.661771530058857
Part 2,EEG,FrontalAlphaAsymmetry,Mean,The Town,-0.07670216010526316,0.038614140473684215,-0.11531630057894737,-1.8276106792734337,0.07616796402473204,19,19,0.661771530058857
Part 2,EEG,HighEngagement,AUC,Abbott Elementary,43.98593182809523,44.138197539625,-0.15226571152976476,-0.029378162357389798,0.976722993888341,21,24,0.6151256966753965
Part 2,EEG,HighEngagement,AUC,Mad Max,106.5183514672,107.24316562105261,-0.7248141538526056,-0.049612705835869374,0.9607345471902647,20,19,0.6151256966753965
Part 2,EEG,HighEngagement,AUC,The Town,116.55278159,104.80231548111111,11.750466108888887,0.807572940836188,0.4246465482207923,20,18,0.6151256966753965
Part 2,EEG,HighEngagement,Mean,Abbott Elementary,0.45006351223809515,0.45410832529166667,-0.0040448130535715165,-0.07599420595380457,0.9398418801569908,21,24,0.747911767222371
Part 2,EEG,HighEngagement,Mean,Mad Max,0.4768199086666666,0.47564982289473684,0.0011700857719297852,0.019412286902329653,0.9846343753716538,18,19,0.747911767222371
Part 2,EEG,HighEngagement,Mean,The Town,0.4458122936500001,0.4095938660555556,0.03621842759444449,0.6548610432406268,0.5167317811452714,20,18,0.747911767222371
Part 2,EEG,LowEngagement,AUC,Abbott Elementary,35.179010917142854,31.672644189625004,3.5063667275178503,0.8558848477744261,0.3971935302710292,21,24,0.9987856404238397
Part 2,EEG,LowEngagement,AUC,Mad Max,78.093383604124,77.50557895036842,0.5878046537555832,0.04681421372824835,0.9629228828879539,20,19,0.9987856404238397
Part 2,EEG,LowEngagement,AUC,The Town,93.34410351950001,98.12158967888888,-4.777486159388872,-0.39508656861198593,0.6953375935244266,20,18,0.9987856404238397
Part 2,EEG,LowEngagement,Mean,Abbott Elementary,0.37621792375,0.3078735951904762,0.06834432855952383,2.1611300265051843,0.03790334682402183,20,21,0.8198375069934134
Part 2,EEG,LowEngagement,Mean,Mad Max,0.3049858819375,0.3458662401176471,-0.040880358180147125,-1.0139598852657858,0.3185123325654441,16,17,0.8198375069934134
Part 2,EEG,LowEngagement,Mean,The Town,0.35765833735,0.3806558142222222,-0.0229974768722222,-0.5061540209586736,0.6162677520804187,20,18,0.8198375069934134
Part 2,EEG,Workload,AUC,Abbott Elementary,53.49850439619048,47.42067150166667,6.077832894523809,2.1353716371549085,0.038529497929585134,21,24,0.8788965891393542
Part 2,EEG,Workload,AUC,Mad Max,120.87235930249999,126.39223734421053,-5.519878041710541,-0.7997305062534769,0.42900192696827455,20,19,0.8788965891393542
Part 2,EEG,Workload,AUC,The Town,137.72503433,137.64901022777778,0.07602410222222034,0.010033373951830989,0.992050951528485,20,18,0.8788965891393542
Part 2,EEG,Workload,Mean,Abbott Elementary,0.5491303133333333,0.514413267521739,0.034717045811594294,1.2934044272000003,0.20299071341844963,21,23,0.7654946527528141
Part 2,EEG,Workload,Mean,Mad Max,0.54112312985,0.5596762390526315,-0.018553109202631535,-0.6135491746587434,0.543271493287037,20,19,0.7654946527528141
Part 2,EEG,Workload,Mean,The Town,0.5289561422,0.5356394287777779,-0.006683286577777947,-0.24934992371289305,0.8045166088510721,20,18,0.7654946527528141
Part 2,ET,Blink,Count,Abbott Elementary,203.54545454545453,196.26666666666668,7.278787878787853,0.2202518033414997,0.8265725945750535,22,30,0.6813446002580702
Part 2,ET,Blink,Count,Mad Max,272.25,322.9047619047619,-50.654761904761926,-0.7950705679503264,0.43141049043791446,20,21,0.6813446002580702
Part 2,ET,Blink,Count,The Town,303.5,297.64285714285717,5.857142857142833,0.09672430079475468,0.923561383172468,20,14,0.6813446002580702
Part 2,ET,Blink,Rate,Abbott Elementary,123.36748547045455,109.56314834379312,13.804337126661437,0.779861632327255,0.4394685660761226,22,29,0.8898687238600211
Part 2,ET,Blink,Rate,Mad Max,80.002118511,85.55012783238095,-5.548009321380945,-0.30587484959214456,0.7612899196396589,21,21,0.8898687238600211
Part 2,ET,Blink,Rate,The Town,95.13940497060871,101.35293167566667,-6.213526705057959,-0.26058962589778845,0.7958127785503112,23,18,0.8898687238600211
Part 2,ET,Fixation,Count,Abbott Elementary,233.96666666666667,255.16666666666666,-21.19999999999999,-2.161735083967894,0.034987084435561755,30,30,0.9763556010462302
Part 2,ET,Fixation,Count,Mad Max,506.0416666666667,500.2692307692308,5.772435897435912,0.27065428286251747,0.7878297703137124,24,26,0.9763556010462302
Part 2,ET,Fixation,Count,The Town,607.3103448275862,588.4615384615385,18.84880636604771,0.830467888580769,0.41041937931667705,29,26,0.9763556010462302
Part 2,ET,Fixation,PerMinute,Abbott Elementary,144.98120014482757,152.44658646785712,-7.4653863230295485,-1.5418198757422346,0.12885872794922482,29,28,0.8817027507756533
