metric_label,metric_axis,metric_stat,outcome_label,section_label,part,subtype,group,title,comparison,n,pearson_r,slope,metric_mean,outcome_mean,long_mean,short_mean,p_value,significance
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 1,overall,All,,,120.0,0.23275641757518506,,27.971775928358333,0.5869184027777777,0.6896186440677967,0.4875853825136611,0.010519478854479224,*
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 2,format-correlation,Long,,,59.0,0.2362285661312085,,28.664948299254235,0.6896186440677967,,,0.0716602440337375,
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 2,format-correlation,Short,,,61.0,0.291387957621383,,27.30133052044263,0.4875853825136611,,,0.022701611682233058,*
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 2,interaction,Long vs Short,,,,,,,,,,0.6396746840012575,
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 2,slope,Long,,vs Short,,,0.001136613870312942,,,,,0.6396746840012575,
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 2,slope,Short,,Reference,,,0.0015885597243123512,,,,,,
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 3,title-delta,Long vs Short,Abbott Elementary,,,,,,,,,,
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 3,title-delta,Long vs Short,Mad Max,,,,,,,,,,
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 3,title-delta,Long vs Short,The Town,,,,,,,,,,
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 3,title-form,Long,Abbott Elementary,,21.0,-0.08956829772468426,,,,,,0.6994242980414609,
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 3,title-form,Long,Mad Max,,19.0,0.1899561825250453,,,,,,0.43602679933473193,
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 3,title-form,Long,The Town,,19.0,0.3526393176843768,,,,,,0.13865371917390865,
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 3,title-form,Short,Abbott Elementary,,24.0,0.4590881339013237,,,,,,0.024029808484102706,*
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 3,title-form,Short,Mad Max,,19.0,0.08992590404409148,,,,,,0.7142829448866251,
EEG Distraction AUC,EEG Distraction AUC,AUC,Enjoyment (NormalizedCorrected),EEG Distraction Ã— Enjoyment,Part 3,title-form,Short,The Town,,18.0,0.18629174154013445,,,,,,0.45921248011729005,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 1,overall,All,,,121.0,-0.11016827673271862,,27.49078456327273,55.13223140495868,50.557377049180324,59.78333333333333,0.22900049740606393,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 2,format-correlation,Long,,,61.0,-0.2482604723832188,,27.73676194588524,50.557377049180324,,,0.05370810066356431,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 2,format-correlation,Short,,,60.0,0.09174203532000016,,27.24070755761667,59.78333333333333,,,0.48570627296513247,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 2,interaction,Long vs Short,,,,,,,,,,0.09279383116429489,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 2,slope,Long,,vs Short,,,-0.13609563521646753,,,,,0.09279383116429489,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 2,slope,Short,,Reference,,,0.07040084168462951,,,,,,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 3,title-delta,Long vs Short,Abbott Elementary,,,,,,,,,,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 3,title-delta,Long vs Short,Mad Max,,,,,,,,,,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 3,title-delta,Long vs Short,The Town,,,,,,,,,,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 3,title-form,Long,Abbott Elementary,,21.0,-0.4306377311403827,,,,,,0.05131945335662702,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 3,title-form,Long,Mad Max,,20.0,-0.29512207867792756,,,,,,0.20651440239983876,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 3,title-form,Long,The Town,,20.0,-0.4121469895291341,,,,,,0.07095915308525474,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 3,title-form,Short,Abbott Elementary,,24.0,0.14813151349465936,,,,,,0.48970440618874217,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 3,title-form,Short,Mad Max,,19.0,0.23343315301535253,,,,,,0.3361444659835195,
EEG Distraction AUC,EEG Distraction AUC,AUC,Open-Ended Recall (Key-Moment),EEG Distraction Ã— Recall,Part 3,title-form,Short,The Town,,17.0,-0.14539447460505742,,,,,,0.5776725226482714,
EEG Distraction AUC,EEG Distraction AUC,AUC,Screening Familiarity (C1),EEG Distraction Ã— Familiarity,Part 1,overall,All,,,121.0,-0.07225337410508557,,27.740605960041325,3.355371900826446,3.6166666666666667,3.098360655737705,0.43094983181996244,
EEG Distraction AUC,EEG Distraction AUC,AUC,Screening Familiarity (C1),EEG Distraction Ã— Familiarity,Part 2,format-correlation,Long,,,60.0,-0.17548551029249376,,28.187202656966665,3.6166666666666667,,,0.17987354567383868,
EEG Distraction AUC,EEG Distraction AUC,AUC,Screening Familiarity (C1),EEG Distraction Ã— Familiarity,Part 2,format-correlation,Short,,,61.0,0.08086068106231953,,27.30133052044263,3.098360655737705,,,0.5355919008030727,
EEG Distraction AUC,EEG Distraction AUC,AUC,Screening Familiarity (C1),EEG Distraction Ã— Familiarity,Part 2,interaction,Long vs Short,,,,,,,,,,0.19875141290628456,
EEG Distraction AUC,EEG Distraction AUC,AUC,Screening Familiarity (C1),EEG Distraction Ã— Familiarity,Part 2,slope,Long,,vs Short,,,-0.010275255164147876,,,,,0.19875141290628456,
EEG Distraction AUC,EEG Distraction AUC,AUC,Screening Familiarity (C1),EEG Distraction Ã— Familiarity,Part 2,slope,Short,,Reference,,,0.006407748684268494,,,,,,
EEG Distraction AUC,EEG Distraction AUC,AUC,Screening Familiarity (C1),EEG Distraction Ã— Familiarity,Part 3,title-delta,Long vs Short,Abbott Elementary,,,,,,,,,,
EEG Distraction AUC,EEG Distraction AUC,AUC,Screening Familiarity (C1),EEG Distraction Ã— Familiarity,Part 3,title-delta,Long vs Short,Mad Max,,,,,,,,,,
EEG Distraction AUC,EEG Distraction AUC,AUC,Screening Familiarity (C1),EEG Distraction Ã— Familiarity,Part 3,title-delta,Long vs Short,The Town,,,,,,,,,,
EEG Distraction AUC,EEG Distraction AUC,AUC,Screening Familiarity (C1),EEG Distraction Ã— Familiarity,Part 3,title-form,Long,Abbott Elementary,,21.0,0.1864314089438305,,,,,,0.41842692345568705,
