id,respondent,group,questionnaire,question_code,question,form,title,response,recall_score,rationale,confidence_score
68,1,C,Post,Q13,Recall,Short,The Town,he had a chance to shoot the guy but decided not to,5.0,"The response is extremely vague and only loosely references a possible moment of hesitation during the robbery. It does not clearly map to any specific event in the model and lacks detail, context, and accuracy.",60.0
30,2,D,Post,Q13,Recall,Long,The Town,The certain gentleman woul not eat the pizza. And his coworkers were teasing him.,0.0,"The response is off-topic and does not reference any of the MODEL EVENTS. There is no mention of characters, locations, or actions relevant to the provided events.",95.0
140,3,A,Post,Q18,Recall,Short,Mad Max,"The two different groups were fighting each other. The group in the back had someone hostage and were trying to take down the big truck group in the front. The character jumping with the arrows had gotten shot with arrows so was already dying, so risked their life and was successful at blowing up another car/group that was trying to attack.",65.0,"The participant identifies two groups fighting, a hostage situation (possibly referencing Max, though not explicit in the modeled events), and a character sacrificing themselves to blow up an attacking vehicle, which matches the War Boy's suicide attack. There is some confusion about the use of arrows and the hostage detail, but the core action and outcome are recalled with moderate accuracy.",80.0
17,3,A,Post,Q13,Recall,Long,The Town,The robber group were trying to steal money and this character was on watch as 2 other characters were taking the money and trying to load it in the truck. They quickly noticed the driver had left the front seat and then heard the cops showing up so had to all get back into the car and then a speed chase with the Boston police began.,40.0,"The participant recalls the robbery, the act of loading money, and the subsequent police chase. However, the description is vague, omits key details (such as the disguises, the shooting of the guard, and the car switch), and contains inaccuracies about the sequence of events and character actions. The response is limited in scope and detail.",85.0
125,4,D,Post,Q18,Recall,Short,Abbot Elementary,Sorry but i really cannot remember the scene.  Gregory and Chris were discussing pizza and Gregory saying he did not like it but then was pursuaded into admitting that he really did... or something like that. But I may be confusing it with another episode i have seen since where everyone is eating donuts and discover they are from last school year.  But I am not sure,10.0,"The participant expresses significant uncertainty and confusion, mixing up details and possibly conflating episodes. They do mention Gregory not liking pizza, but the rest is inaccurate or speculative, and they admit to not remembering the scene.",60.0
32,4,D,Post,Q13,Recall,Long,The Town,I had never seen the movie and at times it appears a little out of sync for the clips shown. But i believe this is the start of s Robery.  They are driving to a location and first are nervous because the armor truck is not there but then it shows up.  The guys pull up and jump out and rob the truck.  Chaos unfold,35.0,"The participant recalls the beginning of the armored truck robbery, including the crew waiting for the truck and chaos unfolding. However, the response is vague, lacks character names, and omits most of the detailed actions and chronology present in the MODEL EVENTS.",85.0
119,6,C,Post,Q18,Recall,Short,Abbot Elementary,"It was an episode of Abbot elementary where the main plot was about one of the teachers, Janine teaching the students how to step. This is made more complicated by the principal of the school taking an interest in her class and eventually taking it over. They eventually resolve their issues. With Janine realizing that she was judging and the principal becomes more responsible. There was also a subplot of the teacher bizarrely not like pizza and being a picky eater",20.0,"The participant mostly describes an unrelated plot about Janine and the principal, which is not present in the model events. They do mention the subplot about a teacher not liking pizza and being a picky eater, which matches the model events, but this is only a small part of the response. The majority of the answer is off-topic.",90.0
25,6,C,Post,Q13,Recall,Long,The Town,"This was the scene of an active crime. A group of at least three men were robbing a bank dressed as nuns. They then entered into a chase scene with the cops. They went through the city. Causing destruction with their reckless driving, but eventually getting away. This was done via dodging the cops and eventually switching cars.",,,
143,8,A,Post,Q18,Recall,Short,Mad Max,There was a man who was on a vehicle and the other characters were attempting to eject him from it. I believe the man in the mask was Tom hardy. There were flame throwers and guns blazing as they sped through the desert. There were lots of explosions. Charlize Theron was in the film. There was a spiked vehicle.,35.0,"The participant mentions a man on a vehicle, explosions, flame throwers, guns, and a spiked vehicle, which loosely matches the chaos of the battle (events 2-3). However, the recall is muddled with references to actors and some inaccurate or irrelevant details, and it lacks clear mention of the War Rig, Furiosa, or the suicide attack.",80.0
20,8,A,Post,Q13,Recall,Long,The Town,This was a robbery scene in the film. The three people involved pulled off the heist and were trying to evade capture. Ben Affleck and Jeremy Renner starred in the film. They did shoot a security guard from the armored car.  They eventually went to a side street and then jumped into another car that was the getaway vehicle. They left hair collected from a barber shop in the car they abandoned and set it on fire.,65.0,"This response accurately describes the armored truck heist, the shooting of a guard, the escape via a secondary getaway car, and the detail about burning the abandoned vehicle with hair from a barber shop (which is a specific event from the film). It also correctly names the actors, but does not mention character names or the broader narrative context, and omits the later investigation and relationship developments.",90.0
56,9,E,Post,Q13,Recall,Short,Abbot Elementary,They were talking about pizza and how he didn't like the type of pizza. They were in the break room during this time. He threw away the pizza and that's all I remember. They were all sitting together and one character couldn't believe that he didn't like the pizza.....................................,35.0,"The response captures that the group was in the break room, discussed pizza, and that someone couldn't believe Gregory didn't like it. However, it incorrectly states that Gregory threw away the pizza and misses most of the detailed interactions and confessions described in the model events.",80.0
117,9,E,Post,Q18,Recall,Long,Mad Max,"They were chasing each other. They were chasing the female character because she was running away with some people hidden in her car. There was a character with guitar at the front of the car. In another car, there was a guy hooked up to get a blood transfusion from one of the demons. This scene was long and drawn out!",40.0,"The participant recalls the central chase, Furiosa fleeing with hidden passengers (the wives), and the blood transfusion dynamic involving Max and the War Boys. They also mention the guitar player, a notable visual element, but do not provide specific names, locations, or detailed chronology. Some details are vague or slightly inaccurate (e.g., 'demons'), but the main action is correctly identified.",80.0
95,10,B,Post,Q18,Recall,Long,Mad Max,This chase scene was about a battle to catch Imperator Furiosa and then there was another gang that intercepted them and the fight began. Rocky was hood ornament.  Furious was trying to get the big truck rig away to free the women inside to keep them from prison with the weird old guy who kept them enslaved as breeders.,60.0,"The participant correctly identifies the main chase, Furiosa's goal to free the women, the presence of another gang, and Max (misnamed 'Rocky') being used as a hood ornament. However, the response lacks detail about the sandstorm, the sequence of attacks, and the specific actions of Nux and Max. Some character names are incorrect, and the chronology is compressed, but the core events are present.",80.0
