group,stimulus_name,duration_seconds,duration_minutes
Group A,A STAR IS BORN,248.67,4.14
Group A,HOME ALONE,115.12,1.92
Group A,MAD MAX FURY ROAD,226.47,3.77
Group A,THE CONJURING,171.31,2.86
Group A,THE TOWN,1744.51,29.08
Group A,TITANIC,59.87,1.0
Group B,07 The Notebook,65.38,1.09
Group B,09 I Am Legend - Infected encounter,118.47,1.97
Group B,10 The Town - Bank robbery in nun masks,263.22,4.39
Group B,HOME ALONE,115.19,1.92
Group B,IRON MAN,122.82,2.05
Group B,Mad Max Fury Road-1,1811.54,30.19
Group C,07 The Notebook,65.39,1.09
Group C,09 I Am Legend - Infected encounter,118.49,1.97
Group C,10 The Town - Bank robbery in nun masks,263.21,4.39
Group C,Abbott Elementary - S1E9 - Step Class,1291.75,21.53
Group C,HOME ALONE,115.09,1.92
Group C,IRON MAN,122.81,2.05
Group D,12 The Big Bang Theory,186.85,3.11
Group D,13 Abbott Elementary,98.52,1.64
Group D,14 The Middle - Sue's cheerleading squad,118.03,1.97
Group D,SCHITTS'S CREEK,86.22,1.44
Group D,THE OFFICE,176.15,2.94
Group D,The Town,1744.48,29.07
Group E,12 The Big Bang Theory,186.88,3.11
Group E,13 Abbott Elementary,98.52,1.64
Group E,14 The Middle - Sue's cheerleading squad,118.06,1.97
Group E,Mad Max Fury Road,1811.5,30.19
Group E,SCHITTS'S CREEK,86.18,1.44
Group E,THE OFFICE,176.1,2.94
Group F,03 Mad Max Fury Road,226.47,3.77
Group F,04 A Star Is Born - Shallow,248.72,4.15
Group F,05 The Conjuring - Hide and clap,171.33,2.86
Group F,Abbott Elementary - S1E9 - Step Class,1291.77,21.53
Group F,HOME ALONE,115.1,1.92
Group F,TITANIC,59.82,1.0
