title,form,sensor,metric,bins,avg_contributors,min_contributors,max_contributors,groups_present,total_unique_contributors
A Star Is Born,Short,EEG,Distraction,249,9.45,4,12,2,19
A Star Is Born,Short,EEG,Drowsy,249,9.45,4,12,2,19
A Star Is Born,Short,EEG,Frontal Alpha Asymmetry,249,9.33,5,12,2,20
A Star Is Born,Short,EEG,High Engagement,249,9.45,4,12,2,19
A Star Is Born,Short,EEG,Low Engagement,249,9.45,4,12,2,19
A Star Is Born,Short,EEG,Workload Average,249,9.0,3,12,2,19
A Star Is Born,Short,ET,Blink Detected,249,10.5,7,14,2,21
A Star Is Born,Short,ET,Fixation Dispersion,249,12.73,10,14,2,26
A Star Is Born,Short,ET,Fixation Duration,249,12.67,10,14,2,26
A Star Is Born,Short,ET,Fixation Index,249,12.73,10,14,2,26
A Star Is Born,Short,FAC,Anger,249,13.0,12,14,2,26
A Star Is Born,Short,FAC,Confusion,249,13.0,12,14,2,26
A Star Is Born,Short,FAC,Contempt,249,13.0,12,14,2,26
A Star Is Born,Short,FAC,Disgust,249,13.0,12,14,2,26
A Star Is Born,Short,FAC,Engagement,249,13.0,12,14,2,26
A Star Is Born,Short,FAC,Fear,249,13.0,12,14,2,26
A Star Is Born,Short,FAC,Joy,249,13.0,12,14,2,26
A Star Is Born,Short,FAC,Neutral,249,13.0,12,14,2,26
A Star Is Born,Short,FAC,Sadness,249,13.0,12,14,2,26
A Star Is Born,Short,FAC,Sentimentality,249,13.0,12,14,2,26
A Star Is Born,Short,FAC,Surprise,249,13.0,12,14,2,26
A Star Is Born,Short,GSR,Peak Detected,249,13.0,12,14,2,26
A Star Is Born,Short,GSR,Phasic Signal,249,13.0,12,14,2,26
Abbott Elementary,Long,EEG,Distraction,99,10.45,8,12,2,21
Abbott Elementary,Long,EEG,Drowsy,99,10.45,8,12,2,21
Abbott Elementary,Long,EEG,Frontal Alpha Asymmetry,99,10.28,6,12,2,22
Abbott Elementary,Long,EEG,High Engagement,99,10.45,8,12,2,21
Abbott Elementary,Long,EEG,Low Engagement,99,10.45,8,12,2,21
Abbott Elementary,Long,EEG,Workload Average,99,9.68,6,12,2,21
Abbott Elementary,Long,ET,Blink Detected,100,10.95,1,14,2,22
Abbott Elementary,Long,ET,Fixation Dispersion,100,14.17,1,16,2,30
Abbott Elementary,Long,ET,Fixation Duration,100,14.17,1,16,2,30
Abbott Elementary,Long,ET,Fixation Index,100,14.17,1,16,2,30
Abbott Elementary,Long,FAC,Anger,99,15.0,14,16,2,30
Abbott Elementary,Long,FAC,Confusion,99,15.0,14,16,2,30
Abbott Elementary,Long,FAC,Contempt,99,15.0,14,16,2,30
Abbott Elementary,Long,FAC,Disgust,99,15.0,14,16,2,30
Abbott Elementary,Long,FAC,Engagement,99,15.0,14,16,2,30
Abbott Elementary,Long,FAC,Fear,99,15.0,14,16,2,30
Abbott Elementary,Long,FAC,Joy,99,15.0,14,16,2,30
Abbott Elementary,Long,FAC,Neutral,99,15.0,14,16,2,30
Abbott Elementary,Long,FAC,Sadness,99,15.0,14,16,2,30
Abbott Elementary,Long,FAC,Sentimentality,99,15.0,14,16,2,30
Abbott Elementary,Long,FAC,Surprise,99,15.0,14,16,2,30
Abbott Elementary,Long,GSR,Peak Detected,100,14.44,3,15,2,29
Abbott Elementary,Long,GSR,Phasic Signal,100,14.44,3,15,2,29
Abbott Elementary,Short,EEG,Distraction,99,11.8,4,12,2,24
Abbott Elementary,Short,EEG,Drowsy,99,11.8,4,12,2,24
Abbott Elementary,Short,EEG,Frontal Alpha Asymmetry,99,10.61,6,12,2,24
Abbott Elementary,Short,EEG,High Engagement,99,11.8,4,12,2,24
Abbott Elementary,Short,EEG,Low Engagement,99,11.8,4,12,2,24
Abbott Elementary,Short,EEG,Workload Average,99,9.58,3,11,2,24
Abbott Elementary,Short,ET,Blink Detected,99,14.9,5,16,2,30
Abbott Elementary,Short,ET,Fixation Dispersion,99,14.73,2,16,2,30
Abbott Elementary,Short,ET,Fixation Duration,99,14.73,2,16,2,30
Abbott Elementary,Short,ET,Fixation Index,99,14.73,2,16,2,30
Abbott Elementary,Short,FAC,Anger,99,14.86,1,16,2,30
Abbott Elementary,Short,FAC,Confusion,99,14.86,1,16,2,30
Abbott Elementary,Short,FAC,Contempt,99,14.86,1,16,2,30
Abbott Elementary,Short,FAC,Disgust,99,14.86,1,16,2,30
Abbott Elementary,Short,FAC,Engagement,99,14.86,1,16,2,30
Abbott Elementary,Short,FAC,Fear,99,14.86,1,16,2,30
Abbott Elementary,Short,FAC,Joy,99,14.86,1,16,2,30
Abbott Elementary,Short,FAC,Neutral,99,14.86,1,16,2,30
Abbott Elementary,Short,FAC,Sadness,99,14.86,1,16,2,30
Abbott Elementary,Short,FAC,Sentimentality,99,14.86,1,16,2,30
Abbott Elementary,Short,FAC,Surprise,99,14.86,1,16,2,30
Abbott Elementary,Short,GSR,Peak Detected,99,14.93,8,16,2,30
Abbott Elementary,Short,GSR,Phasic Signal,99,14.88,8,16,2,30
Home Alone,Short,EEG,Distraction,116,9.15,1,12,4,37
Home Alone,Short,EEG,Drowsy,116,9.15,1,12,4,37
Home Alone,Short,EEG,Frontal Alpha Asymmetry,116,9.06,2,12,4,39
Home Alone,Short,EEG,High Engagement,116,9.15,1,12,4,37
Home Alone,Short,EEG,Low Engagement,116,9.15,1,12,4,37
Home Alone,Short,EEG,Workload Average,116,8.44,1,12,4,37
Home Alone,Short,ET,Blink Detected,115,9.75,7,14,4,39
Home Alone,Short,ET,Fixation Dispersion,115,12.73,9,16,4,52
Home Alone,Short,ET,Fixation Duration,115,12.7,9,16,4,52
Home Alone,Short,ET,Fixation Index,115,12.73,9,16,4,52
