title,form,group,metric,respondent_a,respondent_b,pair_key,shared_bins,windows_generated
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageAlphadB,55,98,55-98,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageAlphadB,55,104,55-104,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageAlphadB,55,116,55-116,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageAlphadB,98,104,98-104,498,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageAlphadB,98,116,98-116,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageAlphadB,104,116,104-116,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageBetadB,55,98,55-98,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageBetadB,55,104,55-104,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageBetadB,55,116,55-116,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageBetadB,98,104,98-104,498,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageBetadB,98,116,98-116,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageBetadB,104,116,104-116,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageDeltadB,55,98,55-98,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageDeltadB,55,104,55-104,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageDeltadB,55,116,55-116,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageDeltadB,98,104,98-104,498,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageDeltadB,98,116,98-116,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageDeltadB,104,116,104-116,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageGammadB,55,98,55-98,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageGammadB,55,104,55-104,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageGammadB,55,116,55-116,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageGammadB,98,104,98-104,498,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageGammadB,98,116,98-116,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageGammadB,104,116,104-116,497,247
A Star Is Born,Short,A,EEG_PSD_ElectrodeClusterAverageThetadB,55,98,55-98,497,247
