respondent,group,questionnaire,question_code,question,format,title,response
116,A,Post,Q15-1,ComprehensionHelp,Long,Abbot Elementary,Seeing the actors talk about eating pizza and Gregory lying that he likes pizza. The actors had pizza during lunch and ate a variety. Gregory co worker Jacob went out of his way to drive and bring this specific type of pizza so Gregory wouldn’t be left out of the pizza party lunch
107,F,Post,Q15-1,ComprehensionHelp,Long,Abbot Elementary,"The facial expressions, the emotions were written all over his face with disgust"
109,F,Post,Q15-1,ComprehensionHelp,Long,Abbot Elementary,That agree was avoiding answering what his favorite pizza was as he does not like pizza
11,F,Post,Q15-1,ComprehensionHelp,Long,Abbot Elementary,It was just a clear and funny scene. They were having the discussion about the best type of pizza like most individuals do because everyone has different preferences.
113,F,Post,Q15-1,ComprehensionHelp,Long,Abbot Elementary,It was reaction when he looked at the pizza and his faacial expressionswhen he took a bite.
17,F,Post,Q15-1,ComprehensionHelp,Long,Abbot Elementary,The dialogue between characters and my own ability to relate to the characters helped me understand it.
41,F,Post,Q15-1,ComprehensionHelp,Long,Abbot Elementary,Would helped my understanding is that I got into it. The characters drew me into their world and I was following along and wanted to see what would happen next.
42,F,Post,Q15-1,ComprehensionHelp,Long,Abbot Elementary,"The scene was well written, and even though I had never watched an episode of this before I gather that the character Gregory is a somewhat quirky individual."
44,F,Post,Q15-1,ComprehensionHelp,Long,Abbot Elementary,Because Greg was shown to be uncomfortable with pizza throughout the whole episode and it finally culminates in this moment.
50,F,Post,Q15-1,ComprehensionHelp,Long,Abbot Elementary,"Facial clues and body movements help me with my understanding. It was clear from Gregory's face that he did not like the pizza, and when confronted, he said he found the pizza disgusting."
60,F,Post,Q15-1,ComprehensionHelp,Long,Abbot Elementary,Just the way the characters behavoir and facial expressions. Also the picking up of the pizza.
70,F,Post,Q15-1,ComprehensionHelp,Long,Abbot Elementary,GOD.  I waited for this survey for a long time.  I HAD A HARD TIME REMEMBERING EVERYTHING AFTER A WEEK.
85,F,Post,Q15-1,ComprehensionHelp,Long,Abbot Elementary,The characters and him grabbing the pizza in the photo. I also remember the other person drove far to get him his “favorite “ pizza.
96,F,Post,Q15-1,ComprehensionHelp,Long,Abbot Elementary,"I had previously seen this episode, so I already was aware of what was happening in the scene."
101,C,Post,Q20-1,ComprehensionHelp,Long,Abbot Elementary,I have watched previous episodes of Abbott Elementary and found the show entertaining.
103,C,Post,Q20-1,ComprehensionHelp,Long,Abbot Elementary,Just watching the scene and understanding how sometimes you may not want to be truthful because you are going to be judged and having similar issue in my life helped with understating the scene
105,C,Post,Q20-1,ComprehensionHelp,Long,Abbot Elementary,I have an emotional connection to the characters because I love this show
114,C,Post,Q20-1,ComprehensionHelp,Long,Abbot Elementary,I believe because I’ve seen it before I know the characters and I just seriously was interested and like everybody so it was enjoyable. I felt happy and it was a fun series and episode.
13,C,Post,Q20-1,ComprehensionHelp,Long,Abbot Elementary,"Very basic and straight forward. Even though I found the show brutal to watch, there was nothing confusing about it."
16,C,Post,Q20-1,ComprehensionHelp,Long,Abbot Elementary,The comedic tone and how they make a small issue into a big deal which is funny
43,C,Post,Q20-1,ComprehensionHelp,Long,Abbot Elementary,I was able to remember watching the show last week and I remember the scene well.  I could tell throughout the show that Gregory didn't really like pizza.
59,C,Post,Q20-1,ComprehensionHelp,Long,Abbot Elementary,Paying attention to the interactions between all parties involved in the occurrence.
62,C,Post,Q20-1,ComprehensionHelp,Long,Abbot Elementary,Listening and watching the show. The writing of the show and the facial expressions of the cast.
63,C,Post,Q20-1,ComprehensionHelp,Long,Abbot Elementary,It was a funny scene and it stuck with me after watching it. I have seen the show before and was familiar with the characters
82,C,Post,Q20-1,ComprehensionHelp,Long,Abbot Elementary,"We all know someone who doesn't like everything that we like, food, drinks, movies, music, etc. They really don't want to be judged for having different tastes. We could be that person who has different tastes, and WE don't want to be judged."
88,C,Post,Q20-1,ComprehensionHelp,Long,Abbot Elementary,Paying attention to the episode and having prior history with the show to know that Gregory is a very fickle person with specific tastes.
89,C,Post,Q20-1,ComprehensionHelp,Long,Abbot Elementary,"Again, this is a stupid question. What helped me understand this is watching the scene unfold and listening to the characters."
116,A,Post,Q15,Comprehension,Long,Abbot Elementary,4 = Understood it without issue
107,F,Post,Q15,Comprehension,Long,Abbot Elementary,4 = Understood it without issue
109,F,Post,Q15,Comprehension,Long,Abbot Elementary,3 = Understood it well
11,F,Post,Q15,Comprehension,Long,Abbot Elementary,4 = Understood it without issue
113,F,Post,Q15,Comprehension,Long,Abbot Elementary,4 = Understood it without issue
17,F,Post,Q15,Comprehension,Long,Abbot Elementary,4 = Understood it without issue
41,F,Post,Q15,Comprehension,Long,Abbot Elementary,4 = Understood it without issue
42,F,Post,Q15,Comprehension,Long,Abbot Elementary,4 = Understood it without issue
44,F,Post,Q15,Comprehension,Long,Abbot Elementary,4 = Understood it without issue
50,F,Post,Q15,Comprehension,Long,Abbot Elementary,4 = Understood it without issue
60,F,Post,Q15,Comprehension,Long,Abbot Elementary,4 = Understood it without issue
70,F,Post,Q15,Comprehension,Long,Abbot Elementary,4 = Understood it without issue
85,F,Post,Q15,Comprehension,Long,Abbot Elementary,4 = Understood it without issue
96,F,Post,Q15,Comprehension,Long,Abbot Elementary,4 = Understood it without issue
116,A,Post,Q13,Recall,Long,Abbot Elementary,The black male actor lied about liking pizza and said he would only eat a certain type which he thought didn’t exist. He described it as wet. The white male actor drove to the city where the pizza is and brought it to the other actor to eat because he said it was his favorite kind of pizza. Gregory does not like pizza and is very specific about the foods he eats. His co worker brought the pizza as a friend to him at work so he could enjoy the pizza while the other co workers ate different varieties of pizza
107,F,Post,Q13,Recall,Long,Abbot Elementary,The guy grabbing the pizza in reality doesn’t like pizza but he is ashamed to admit at first because he doesn’t want to be judged. So he made up a fake pizza place from Baltimore that is extra soggy and what not. His good friend believed him and took a 2/3hour drive to Baltimore so he can get his best friend a pizza he missed so much  but in reality it was all a lie
109,F,Post,Q13,Recall,Long,Abbot Elementary,"Greg, Jacob and staff were having lunch in the break room and the group started talking about pizza and decided that they should have a pizza contest where everyone brings their favorite pizza for others to try. When asked, Greg stated that he likes Baltimore style pizza and the group asked him about Baltimore style pizza where he answered it is like wet pizza."
11,F,Post,Q13,Recall,Long,Abbot Elementary,They were talking about pizza they thought was the best and Chris rock said he liked crunchy soggy pizza called Baltimore style pizza. So someone went to buy it for him but it turns out he was lying and he doesn’t like pizza in general. They were discussing how he doesn’t like pizza and that can’t be possible
113,F,Post,Q13,Recall,Long,Abbot Elementary,"Gregory Eddie had confessed that he liked his pizza wet, soggy and Jacob Hill went on a 2 hour drive to get that particular pizza. When he presented it to Gregory, Gregory appeared to be repulsed by the pizza.From his reaction, it appeared that he had no idea what this type of pizza looked like or tasted even."
17,F,Post,Q13,Recall,Long,Abbot Elementary,"They brought in a pizza from a character's hometown after he lied and said he only liked a certain ""wet"" style from a specific restaurant to hide the fact that he doesn't like pizza. When he picked up a slice of the pizza it was dripping and looked so unappetizing. The character looked very uncomfortable and clearly did not want to eat the pizza."
41,F,Post,Q13,Recall,Long,Abbot Elementary,"So when he said that he liked the pizza from Boston crispy and soggy, he didn't realize that his coworker would go out and buy it and bring it over to him so even though his coworker surprised him with the pizza that he claimed he liked, he still wasn't interested in the pizza. He just said it just to make his coworkers happy"
42,F,Post,Q13,Recall,Long,Abbot Elementary,"In this scene, the guy looking at the pizza with disdain lied to his friends about liking pizza by making up this huge story about how he only likes pizza from Boston I believe, and he said it was like wet and also crunchy so his friend drove all the way over there and got him a pizza and this is basically the scene where they find out that he lied to them and he just doesn’t like pizza or lots of other foods that are American staples. The characters were these two guys that are in the picture as well as four other women who are also part of the cast, though I believe only two of those other women were part of this particular scene."
44,F,Post,Q13,Recall,Long,Abbot Elementary,This is from an episode where everybody is talking about their favorite pizza places. His character says he really loves St Louis pizza. He's picking up the pizza his friends got for him from his hometown and he doesn't want anything to do with it since he hates pizza. The pizza is extra soggy and greasy and looks really nasty when held up. It's a super funny scene and his expressions throughout it are hilarious.
50,F,Post,Q13,Recall,Long,Abbot Elementary,"Gregory is disgusted and admits that he does not like pizza. Gregory had stated earlier that he likes his pizza wet. So his friend went out of his way to get him a ""wet"" pizza. Caught in a lie, Gregory hesitated and then walked out. Gregory had some weird food issues where he just likes food that is plain and tasteless."
60,F,Post,Q13,Recall,Long,Abbot Elementary,They were talking about pizza and the one character said he like Balitmore pizza as if there is such a thing. Everyone was talking about the best pizza and he was trying to hide the fact that he doesn't like pizza. So ithe other guy drove to get the B'more pizza. This is him trying to take a piece and preyend he likes it.
70,F,Post,Q13,Recall,Long,Abbot Elementary,He was trying a certain kind of pizza he liked but changed his mind. HE said he did not like pizza.  Gregory went to his car and was upset because they were trying to get him to eat pizza. He put the pizza down and that was it.  That is all I remember.  All the teachers were trying their favorite pizza.Gregory said his favorite pizza was from Philadelphia OR Pittsburgh. He did not like the pizza he was served.
85,F,Post,Q13,Recall,Long,Abbot Elementary,This is a scene where the one guy drove to Boston maybe to get a wet pizza that the other character said was his favorite pizza. However the character lied and he doesn’t like pizza at all. This scene is from Abbott elementary and it was all the teachers in the break room. In addition to this scene there was a step contest going on.
96,F,Post,Q13,Recall,Long,Abbot Elementary,"In this scene, Barbara, Melissa, and Jacob are all sharing their favorite Philly pizza places. Jacob surprised Gregory with a ""Baltimore"" pizza. Jacob had driven to what Gregory had told him was his favorite pizza place to get him a pizza. What Jacob does not know is that Gregory does not like pizza and that is why he has this facial expression because he lied."
101,C,Post,Q18,Recall,Long,Abbot Elementary,"Yesterday, there was a discussion among Abbott teachers and staff which pizza is the best. Gregory( williams) had mentioned that he like some pizza from (baltimore,MD?) Jacob drove  a long way to bring Gregory his favorite pizza and offers Gregory a slice. Unbeknown the everynone, Gregory made the whole thing up and does not like pizza."
103,C,Post,Q18,Recall,Long,Abbot Elementary,Tyler James Williams who plays a teacher in Abbott Elementary as trying to hide the fact that he didn’t like pizza because he knew everyone would think it was strange. So another actor who plays a teacher and his friend drive hours to get the pizza Tyler lied and said he liked. So at this point in the scene Tyler is acting like he is going tryna slice but he doesn’t and tells them he doesn’t eat pizza
105,C,Post,Q18,Recall,Long,Abbot Elementary,"In this scene, one of the characters had said he only likes “Baltimore” style pizza and described it as crispy and wet. Another character drove from Philly to Baltimore to get the pizza for his friend. In the rest of the scene, it became evident that the initial character was lying and doesn’t like pizza at all which resulted in disgust from his colleagues."
114,C,Post,Q18,Recall,Long,Abbot Elementary,"The one character I believe his name is Greg was embarrassed because he doesn’t like pizza. They were in their lunch room during break discuss discussing who liked what pizza and he told him a facetious place in a certain area and his best friend drove there to get it and when it came, he clean he doesn’t"
13,C,Post,Q18,Recall,Long,Abbot Elementary,"The other teachers were mocking him for not liking pizza. Eventually the guy admitted it, but he had to tell a detailed lie about pizza he liked in Baltimore that was crispy and soggy or some weird combo like that. It was a painful show to watch and it tried so hard to be funny. Then the teacher got all emotional because others got on him about not liking pizza and he went to go eat food in his car alone."
16,C,Post,Q18,Recall,Long,Abbot Elementary,"There were two main plots, one plot was that the light skin male did not like pizza and his colleagues were surprised by it. He said he only liked pizza from Delaware extra wet and so one of his friends got him that pizza so they could eat pizza together and see which pizza was the best. The other plot involved one of the teachers leading students in a step class after school and another teacher or principal wanting to take over that class and initially just having fun with the students and not working on step. The first teacher gets upset and the Second Lady gets more involved and the episode ends with a step show during a school event and the second teacher leaves right before the show leaving the students without the ability to show their dance to the school. The first teacher convinces her to show the school stepping together and both and the students step dance for the school and everyone is impressed and their relationship is good after"
43,C,Post,Q18,Recall,Long,Abbot Elementary,All of the teachers mentioned their favorite pizza establishments.  One of the teachers said they like pizza from a place in Baltimore.  They like their pizza wet.  Another teacher went and bought the pizza from the establishment in Baltimore.  The teacher that said they liked the pizza from Baltimore said it is disgusting and said they don't like pizza.
59,C,Post,Q18,Recall,Long,Abbot Elementary,"A pizza contest in regards to the best pizza was orchestrated by the co-workers at the school.  Everyone was to have purchased their favorite pizza for the contest.  The Black guy, shown in the picture, said that he only like pizza from a particular pizza restaurant that was 2 hours away, when in actuality he did not like pizza at all.  His co-worker, the white guy, drove to the restaurant that was 2 hours away, without his knowledge, and purchased the pizza for his friend.  The picture above shows the friend picking up the pizza to eat it when in actuality he was disgusted with the pizza.  He told the truth to all the co-workers about not liking pizza and his friend was dismayed at him for telling a lie and requested his money back."
62,C,Post,Q18,Recall,Long,Abbot Elementary,"The teachers from Abbott elementary are in their break room eating lunch. One of the teachers told them he only liked Baltimore pizza from a made up name in the previous scene, and in this scene the other male teacher drove there and brought it back so he could eat it ""wet"". But really the teacher was lying and hates pizza. And didn't want to tell the other teachers because they would make fun of him. This is the moment he picks up the pizza and then tells them he lied and hates pizza. They are shocked and think he is weird for not liking pizza. He says this is why he didn't tell them in the first place."
63,C,Post,Q18,Recall,Long,Abbot Elementary,"The person on the right does not like pizza and tries to avoid a pizza lunch with his co-workers in the teachers lounge. He is then given a slice of pizza by the person on the left and it is gross and wet looking. The guy on the right is disgusted by it and does not even want to pick it up, but he is forced to try it and backs out at the last second and comes clean about his aversion to pizza."
82,C,Post,Q18,Recall,Long,Abbot Elementary,"The Black character doesn't eat a lot of popular foods, and pizza is one of those foods. In this scene, his co-workers are trying to get him to try a slice of pizza. He was truly disgusted by the pizza. To avoid situations like this, he would eat in his car so that he wouldn't be judged by his co-workers."
88,C,Post,Q18,Recall,Long,Abbot Elementary,"Previously the character named Gregory said that his favorite type of pizza was Baltimore style, which apparently is ""wet,"" from a pizzeria he named. A colleague named Jacob traveled to Baltimore to purchase a ""wet"" pizza from the named pizzeria so that Gregory could enjoy it. However, Gregory actually does not enjoy pizza and the picture above is a shot of him taking a piece of the ""wet"" pizza with great trepidation/"
89,C,Post,Q18,Recall,Long,Abbot Elementary,Not sure about the scene.  It may have been when the man on the right was pretending that he liked pizza. He said that he liked wet pizza from a specific place in Baltimore or Maryland I think. And then the guy on the left actually drove two hours to pick up his favorite pizza. It ends up the guy in the right really doesn’t like pizza.
101,C,Survey,E16,Enjoyment,Long,Abbot Elementary,This show made me laugh and i felt joy.
103,C,Survey,E16,Enjoyment,Long,Abbot Elementary,this video made me feel amused and excited
105,C,Survey,E16,Enjoyment,Long,Abbot Elementary,joyful and happy
114,C,Survey,E16,Enjoyment,Long,Abbot Elementary,happy & interested. I loved narration & the dynamic of the different personalites.
13,C,Survey,E16,Enjoyment,Long,Abbot Elementary,I felt boredom and wanting to watch something else.
6,C,Survey,E16,Enjoyment,Long,Abbot Elementary,"Amusement, and second hand embaressment"
62,C,Survey,E16,Enjoyment,Long,Abbot Elementary,"happy, silly"
89,C,Survey,E16,Enjoyment,Long,Abbot Elementary,happy and entertained
93,C,Survey,E16,Enjoyment,Long,Abbot Elementary,"Happiness, more specifically humorous as it had me laughing"
107,F,Survey,E16,Enjoyment,Long,Abbot Elementary,JOY
109,F,Survey,E16,Enjoyment,Long,Abbot Elementary,it made me feel like dancing
11,F,Survey,E16,Enjoyment,Long,Abbot Elementary,It was funny so made me feel happy but also sad at the part where we learn she was having issues with her grandma not being well
113,F,Survey,E16,Enjoyment,Long,Abbot Elementary,"neither happy nor sad, but I  empathized with the some of the scenes."
117,F,Survey,E16,Enjoyment,Long,Abbot Elementary,the video made me feel happy
17,F,Survey,E16,Enjoyment,Long,Abbot Elementary,Stressed for the teacher getting ousted as the step instructor at times. I also found the parts about the wet pizza funny.
