source_file,group,respondent,date_study,time_study,age,age_group,gender,ethnicity,income_group,content_consumption,content_consumption_movies,content_consumption_series,content_consumption_short,grid_comments,Short Form,Long Form
003_104.csv,A,104,10/16/2025,18:09:03,59,44-59,Male,White,"$60,000 or more per year",More than 24 hours per week,10,90,0,,Mad Max,The Town
002_106.csv,A,106,10/16/2025,19:35:05,30,28-43,Male,White,"$60,000 or more per year",3 to 12 hours per week,25,50,25,,Mad Max,The Town
001_116.csv,A,116,10/18/2025,12:37:40,19,18-27,Male,White,"$35,000  $60,000 per year",3 to 12 hours per week,25,50,25,,Mad Max,The Town
006_14.csv,A,14,10/11/2025,09:32:42,33,28-43,Male,Hispanic/Latino/Latina/Latinx,"$60,000 or more per year",More than 24 hours per week,20,40,40,No EEG.,Mad Max,The Town
007_3.csv,A,3,10/10/2025,09:19:22,34,28-43,Female,White,"$60,000 or more per year",12 to 24 hours per week,10,70,20,No EEG.,Mad Max,The Town
004_52.csv,A,52,10/14/2025,11:18:23,50,44-59,Female,White,"$35,000  $60,000 per year",3 to 12 hours per week,25,35,40,,Mad Max,The Town
005_55.csv,A,55,10/14/2025,14:01:18,37,28-43,Female,White,"$35,000  $60,000 per year",12 to 24 hours per week,35,35,30,,Mad Max,The Town
005_8.csv,A,8,10/10/2025,12:35:09,51,44-59,Female,Hispanic/Latino/Latina/Latinx,"$60,000 or more per year",3 to 12 hours per week,30,35,35,No EEG.,Mad Max,The Town
002_81.csv,A,81,10/17/2025,11:22:46,24,18-27,Female,White,"$35,000  $60,000 per year",12 to 24 hours per week,25,25,50,May be a Benchamrking problem,Mad Max,The Town
001_83.csv,A,83,10/17/2025,12:46:41,69,60-69,Male,Black/African American,"$35,000  $60,000 per year",3 to 12 hours per week,10,80,10,,Mad Max,The Town
004_98.csv,A,98,10/15/2025,17:41:49,32,28-43,Male,White,"$35,000  $60,000 per year",More than 24 hours per week,5,20,75,,Mad Max,The Town
