respondent,group,question_number,title,issue,source_file
1,C,2.0,Goodfellas,form_unresolved_default_short,Group C_Post Viewing Questionnaire Part Two.csv
1,C,3.0,The Notebook,form_from_group_stimulus_map,Group C_Post Viewing Questionnaire Part Two.csv
1,C,6.0,Seinfeld,form_unresolved_default_short,Group C_Post Viewing Questionnaire Part Two.csv
1,C,8.0,Friends,binary_response_missing_or_unrecognized,Group C_Post Viewing Questionnaire Part Two.csv
1,C,8.0,Friends,confidence_missing_or_unrecognized,Group C_Post Viewing Questionnaire Part Two.csv
1,C,8.0,Friends,form_unresolved_default_short,Group C_Post Viewing Questionnaire Part Two.csv
1,C,9.0,Abbot Elementary,binary_response_missing_or_unrecognized,Group C_Post Viewing Questionnaire Part Two.csv
1,C,9.0,Abbot Elementary,confidence_missing_or_unrecognized,Group C_Post Viewing Questionnaire Part Two.csv
1,C,10.0,Ironman,binary_response_missing_or_unrecognized,Group C_Post Viewing Questionnaire Part Two.csv
1,C,10.0,Ironman,confidence_missing_or_unrecognized,Group C_Post Viewing Questionnaire Part Two.csv
1,C,10.0,Ironman,form_unresolved_default_short,Group C_Post Viewing Questionnaire Part Two.csv
1,C,11.0,A Star Is Born,binary_response_missing_or_unrecognized,Group C_Post Viewing Questionnaire Part Two.csv
1,C,11.0,A Star Is Born,confidence_missing_or_unrecognized,Group C_Post Viewing Questionnaire Part Two.csv
1,C,11.0,A Star Is Born,form_unresolved_default_short,Group C_Post Viewing Questionnaire Part Two.csv
1,C,12.0,Ironman,binary_response_missing_or_unrecognized,Group C_Post Viewing Questionnaire Part Two.csv
1,C,12.0,Ironman,confidence_missing_or_unrecognized,Group C_Post Viewing Questionnaire Part Two.csv
1,C,12.0,Ironman,form_unresolved_default_short,Group C_Post Viewing Questionnaire Part Two.csv
10,B,2.0,The Dark Knight,form_unresolved_default_short,Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv
10,B,3.0,The Notebook,form_from_group_stimulus_map,Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv
